网络事件统计

事件类型统计结果
未知 : 58102
僵木控制 : 4444


运营商统计结果
联通 : 398
电信 : 4046
 : 58102


事件类型下的运营商统计结果
未知- : 58102
僵木控制-联通 : 398
僵木控制-电信 : 4046


运营商下的事件类型统计结果
联通-僵木控制 : 398
电信-僵木控制 : 4046
-未知 : 58102


